Date,Time,Timezone,Open,High,Low,Close
2025-01-08,14:08:00,+05:30,23662.25,23667.6,23651.85,23667.35
2025-01-08,14:09:00,+05:30,23667.7,23679.7,23663.75,23679.6
2025-01-08,14:10:00,+05:30,23679.7,23680.75,23671.1,23673.3
2025-01-08,14:11:00,+05:30,23672.85,23688.65,23672.15,23684.35
2025-01-08,14:12:00,+05:30,23684.4,23696.25,23681.65,23693.2
2025-01-08,14:13:00,+05:30,23692.45,23699.8,23690.7,23698.5
2025-01-08,14:14:00,+05:30,23698.7,23701.75,23691.9,23696.5
2025-01-08,14:15:00,+05:30,23696.3,23701.3,23694.4,23701.1
2025-01-08,14:16:00,+05:30,23700.4,23701.6,23685.85,23690.4
2025-01-08,14:17:00,+05:30,23690.15,23691.5,23679.05,23683.65
2025-01-08,14:18:00,+05:30,23684.45,23692.85,23683.4,23690.8
2025-01-08,14:19:00,+05:30,23690.3,23690.75,23683.65,23690.35
2025-01-08,14:20:00,+05:30,23690.25,23709.05,23688.85,23709.05
2025-01-08,14:21:00,+05:30,23709.75,23722.9,23709.75,23713.1
2025-01-08,14:22:00,+05:30,23713.5,23718.45,23712.05,23713.65
2025-01-08,14:23:00,+05:30,23713.45,23727.5,23708.9,23726.3
2025-01-08,14:24:00,+05:30,23725.95,23726.85,23717.55,23722.2
2025-01-08,14:25:00,+05:30,23722.0,23724.75,23710.6,23712.85
2025-01-08,14:26:00,+05:30,23712.65,23713.3,23701.75,23704.2
2025-01-08,14:27:00,+05:30,23704.05,23706.4,23696.85,23699.05
2025-01-08,14:28:00,+05:30,23699.4,23700.3,23668.4,23670.35
2025-01-08,14:29:00,+05:30,23670.0,23671.65,23656.4,23660.4
2025-01-08,14:30:00,+05:30,23661.2,23665.45,23653.15,23658.95
2025-01-08,14:31:00,+05:30,23658.4,23662.5,23647.75,23652.15
2025-01-08,14:32:00,+05:30,23652.45,23655.25,23645.55,23652.6
2025-01-08,14:33:00,+05:30,23652.9,23661.3,23652.9,23658.2
2025-01-08,14:34:00,+05:30,23659.2,23679.2,23659.2,23676.35
2025-01-08,14:35:00,+05:30,23675.9,23676.9,23645.05,23649.0
2025-01-08,14:36:00,+05:30,23651.05,23659.75,23649.0,23652.45
2025-01-08,14:37:00,+05:30,23652.8,23664.0,23649.35,23663.65
2025-01-08,14:38:00,+05:30,23663.15,23663.15,23652.4,23654.15
2025-01-08,14:39:00,+05:30,23654.1,23666.7,23654.1,23666.35
2025-01-08,14:40:00,+05:30,23666.6,23681.1,23665.75,23680.75
2025-01-08,14:41:00,+05:30,23680.45,23691.7,23680.45,23688.7
2025-01-08,14:42:00,+05:30,23688.95,23689.1,23679.9,23683.9
2025-01-08,14:43:00,+05:30,23684.0,23694.3,23678.85,23694.0
2025-01-08,14:44:00,+05:30,23694.5,23699.75,23691.55,23694.95
2025-01-08,14:45:00,+05:30,23694.6,23709.25,23694.6,23701.9
2025-01-08,14:46:00,+05:30,23701.85,23706.5,23695.95,23698.75
2025-01-08,14:47:00,+05:30,23698.5,23709.75,23698.5,23706.05
2025-01-08,14:48:00,+05:30,23706.1,23712.25,23703.2,23711.45
2025-01-08,14:49:00,+05:30,23712.45,23715.9,23702.55,23705.4
2025-01-08,14:50:00,+05:30,23707.1,23713.0,23707.05,23707.9
2025-01-08,14:51:00,+05:30,23707.15,23707.15,23694.6,23698.05
2025-01-08,14:52:00,+05:30,23697.7,23706.85,23690.2,23703.2
2025-01-08,14:53:00,+05:30,23703.75,23716.45,23702.3,23715.5
2025-01-08,14:54:00,+05:30,23715.65,23718.65,23704.9,23707.35
2025-01-08,14:55:00,+05:30,23706.75,23710.75,23701.05,23702.6
2025-01-08,14:56:00,+05:30,23704.45,23707.4,23699.15,23699.25
2025-01-08,14:57:00,+05:30,23699.45,23699.65,23690.4,23693.3
2025-01-08,14:58:00,+05:30,23692.6,23696.85,23688.5,23690.65
2025-01-08,14:59:00,+05:30,23691.7,23694.15,23674.15,23677.9
2025-01-08,15:00:00,+05:30,23680.45,23693.45,23679.85,23692.0
2025-01-08,15:01:00,+05:30,23692.4,23692.4,23665.35,23666.3
2025-01-08,15:02:00,+05:30,23666.2,23673.65,23664.85,23672.0
2025-01-08,15:03:00,+05:30,23672.3,23686.2,23672.1,23683.55
2025-01-08,15:04:00,+05:30,23683.7,23683.7,23673.8,23675.8
2025-01-08,15:05:00,+05:30,23675.25,23676.2,23655.25,23658.45
2025-01-08,15:06:00,+05:30,23658.9,23675.7,23658.1,23674.25
2025-01-08,15:07:00,+05:30,23674.8,23681.0,23671.8,23678.95
2025-01-08,15:08:00,+05:30,23680.5,23690.05,23679.65,23684.3
2025-01-08,15:09:00,+05:30,23685.0,23696.7,23680.7,23695.75
2025-01-08,15:10:00,+05:30,23695.0,23707.1,23693.4,23706.95
2025-01-08,15:11:00,+05:30,23706.55,23706.8,23698.75,23700.6
